Kata,Frekquensi
maintain,35
chemical,35
lector,35
professionally,35
bpi,35
easily,35
automatically,35
promotion,35
innovation,35
majority,35
water,35
line,35
election,35
fine,35
conduct,35
dare,34
nutrition,34
five,34
goal,34
half,34
chat,34
fellow,34
cancel,34
junior,34
namely,34
maximum,34
pressure,34
four,34
normal,34
pocket,34
hospital,34
adequate,34
double,34
neglect,34
woman,34
ordinary,34
easier,34
revision,34
resolve,34
supervise,34
prove,33
vice,33
else,33
silent,33
title,33
scheme,33
sake,33
play,33
evidence,33
whatever,33
effect,33
comparison,33
necessarily,33
basically,33
worth,33
mandate,33
personnel,33
response,33
buzzer,33
strategic,33
miss,33
younger,33
thursday,33
paragraph,33
sibling,33
fiscal,33
enterprise,33
clean,32
anyone,32
good,32
decile,32
either,32
decade,32
digital,32
concept,32
decrease,32
mass,32
draft,32
v,32
professionalism,32
equipment,32
safe,32
latest,32
propose,32
importance,32
poverty,32
adadikompas,32
unclear,31
guard,31
certainty,31
certify,31
lala,31
collect,31
achievement,31
similar,31
spirit,31
cc,31
assess,31
intention,31
laborer,31
witness,31
taxi,31
worry,31
bh,31
annual,31
lab,31
sue,31
farmer,31
cook,31
worse,31
appear,31
west,31
hop,31
percent,31
event,31
contribute,31
root,31
respond,31
measure,31
cooperation,31
invite,31
madam,31
key,31
q,30
feasible,30
china,30
wealth,30
commit,30
soon,30
touch,30
council,30
cool,30
exactly,30
document,30
eh,30
timor,30
constitution,30
direction,30
iii,30
crisis,30
approach,30
relation,30
arise,30
gap,30
mostly,30
hahaha,30
establish,30
extra,30
jokowi,30
subianto,30
ppg,30
hamid,30
airlangga,30
kitchen,29
saw,29
pay,29
petition,29
son,29
choice,29
postpone,29
jt,29
eye,29
revenue,29
street,29
bps,29
noble,29
recruitment,29
intend,29
agreement,29
reimbursement,29
impossible,29
theory,29
update,29
grow,29
tomorrow,29
stella,29
relevant,29
conflict,29
tri,29
shock,29
associate,29
function,29
tv,29
qualification,29
percentage,29
dream,28
livestock,28
profit,28
construction,28
thread,28
deduct,28
sktm,28
chase,28
tweet,28
model,28
fire,28
august,28
beyond,28
tool,28
oil,28
interview,28
visit,28
bpjs,28
merely,28
advisor,28
promote,28
consult,28
solve,27
electricity,27
owner,27
body,27
via,27
fundamental,27
surely,27
logic,27
scientific,27
put,27
deduction,27
shop,27
talent,27
heart,27
prospective,27
sufficient,27
win,27
t,27
director,27
leadership,27
rarely,27
mouse,27
domestic,27
repair,27
mandatory,27
lazy,27
competence,27
disaster,27
factor,27
whole,27
sacrifice,27
bureaucracy,27
mistake,27
implementation,27
extraordinary,27
apologize,27
p,27
gas,27
red,27
ah,26
transportation,26
catch,26
appreciation,26
australia,26
nice,26
bond,26
language,26
board,26
sisdiknas,26
implement,26
governance,26
mut,26
ignore,26
critical,26
patient,26
population,26
previously,26
channel,26
phenomenon,26
building,26
suffer,26
partner,26
release,26
disappear,26
conclusion,26
match,26
evaluate,26
holiday,26
suspect,25
consultant,25
recommendation,25
refuse,25
allah,25
complaint,25
argument,25
technical,25
contribution,25
extend,25
afraid,25
travel,25
attach,25
secretary,25
like,25
pharmacy,25
independently,25
appropriate,25
disparity,25
ever,25
stress,25
behavior,25
youtube,25
sit,25
underpay,25
dharma,25
prefer,25
judicial,25
within,25
sincere,24
mend,24
minute,24
unless,24
man,24
net,24
advice,24
extension,24
production,24
mulyono,24
divide,24
january,24
expenditure,24
explanation,24
original,24
amp,24
madrasah,24
independence,24
complex,24
netizens,24
eliminate,24
al,24
stand,24
address,24
tuesday,24
basis,24
ecosystem,24
gain,24
campaign,24
tend,24
auditor,24
drop,24
useless,24
rich,24
alumnus,24
strict,24
adjust,24
payroll,24
decide,24
july,24
journalism,24
drive,24
vulnerable,24
alright,24
district,23
successful,23
operation,23
pattern,23
forum,23
october,23
calculation,23
garuda,23
deliberately,23
stomach,23
assessment,23
honest,23
nder,23
ridiculous,23
huge,23
tpf,23
earlier,23
negative,23
stmkg,23
greater,22
ptnbh,22
eventually,22
aspiration,22
procurement,22
available,22
relationship,22
fresh,22
represent,22
vision,22
east,22
occur,22
precisely,22
urge,22
quota,22
ii,22
singapore,22
violate,22
usd,22
resident,22
rent,22
purchase,22
necessary,22
topic,22
capacity,22
threaten,22
natural,22
blame,22
input,22
spread,22
archivist,22
dear,22
december,22
leste,22
perhaps,22
kemdiktisaintek,22
cake,22
fit,21
unemployed,21
design,21
pks,21
cave,21
size,21
ali,21
afternoon,21
assign,21
e,21
delay,21
aa,21
recruit,21
ahead,21
recognize,21
viral,21
balance,21
track,21
method,21
competitive,21
zero,21
internship,21
sanction,21
japan,21
attendance,21
push,21
background,20
aid,20
saving,20
integrity,20
agricultural,20
kopdes,20
stage,20
multiple,20
nurse,20
pk,20
installment,20
die,20
pro,20
corporate,20
stream,20
estimate,20
officially,20
xxiii,20
smaller,20
overtime,20
dignity,20
fulfill,20
meeting,20
reimburse,20
floor,20
competency,20
criminal,20
supervision,20
seminar,20
moral,20
dark,20
desire,20
accreditation,20
anymore,20
formal,20
bitter,20
punishment,20
cash,20
clothe,20
adaksi,20
transparency,20
convention,20
testify,20
guide,19
photo,19
ikn,19
brian,19
environmental,19
wkwk,19
sentence,19
trade,19
shift,19
asia,19
hehe,19
collaboration,19
mkri,19
praise,19
purpose,19
flow,19
june,19
stability,19
cross,19
character,19
reference,19
incompetent,19
mix,19
poison,19
specialist,19
rm,19
equitable,19
simply,19
hurt,19
agenda,19
english,19
deceive,19
continuously,19
older,19
short,19
initially,19
recommend,19
aspect,19
capable,19
principal,19
hide,19
uin,19
thp,19
zionist,19
fan,19
chance,19
portion,19
ease,19
trust,19
polri,19
recently,19
award,19
regency,19
democratic,19
perpres,19
indrawati,19
kid,19
ut,18
dollar,18
guess,18
upgrade,18
cruel,18
tridharma,18
agriculture,18
pity,18
commitment,18
permission,18
aware,18
dikbud,18
drain,18
tip,18
mindset,18
creative,18
fuel,18
classroom,18
trigger,18
deliver,18
deficit,18
intellectual,18
mpr,18
block,18
inequality,18
useful,18
table,18
iiib,18
twice,18
problematic,18
hustle,18
package,18
print,18
entrepreneur,18
advancement,18
responsible,18
dog,18
score,18
loss,18
freedom,18
express,18
moreover,18
bureaucratic,18
vote,18
february,18
introduction,18
imam,18
fyi,18
dedication,18
actual,18
significant,18
largest,18
upper,18
fault,18
intelligent,18
penalty,18
strike,18
brin,18
redirect,18
miserable,18
taxpayer,18
insufficient,18
divert,17
scale,17
category,17
chicken,17
arrogant,17
pray,17
fun,17
info,17
favor,17
subsidize,17
reply,17
scientist,17
default,17
card,17
cenblue,17
southeast,17
demo,17
quote,17
asean,17
designer,17
fear,17
perspective,17
charge,17
skd,17
feed,17
opening,17
hang,17
laugh,17
unpaid,17
date,17
death,17
kemendiktisaintek,17
urgent,17
collapse,17
violence,17
fast,17
probably,17
solidarity,17
sky,17
wish,17
mental,17
pesantren,17
regret,17
kalimantan,17
exhaust,17
integrate,17
option,17
truth,17
exploit,17
dozen,17
significantly,17
amid,17
revise,17
pg,17
retirement,17
seizure,17
temporary,17
participant,17
park,17
faction,17
vocational,17
oppress,17
gpa,17
decently,17
firefighter,17
laboratory,16
spill,16
placement,16
product,16
sick,16
kpk,16
doctorate,16
sdm,16
fintech,16
sale,16
stagnant,16
gasoline,16
hotel,16
xxiv,16
ironically,16
hit,16
network,16
justify,16
provincial,16
curious,16
governor,16
strategy,16
financially,16
transcript,16
expire,16
qualify,16
laptop,16
volume,16
fish,16
machine,16
import,16
computer,16
committee,16
sea,16
separate,16
irony,16
sound,16
accompany,16
annoy,16
concrete,16
refer,16
disciplinary,16
discipline,16
islamic,16
movement,16
trap,16
despite,16
exclude,16
permit,16
analysis,16
multiply,16
success,16
observer,16
informal,16
consequence,16
evaluation,16
succeed,16
prestigious,16
elsevier,16
gold,16
politician,16
somewhat,16
format,16
excuse,16
nowadays,16
threat,16
eradicate,16
editor,15
library,15
coffee,15
arrest,15
plant,15
throw,15
november,15
religion,15
limitation,15
press,15
conference,15
ojol,15
vehicle,15
item,15
weaken,15
hire,15
except,15
amen,15
freelance,15
image,15
male,15
safety,15
america,15
influence,15
march,15
satker,15
jabfung,15
promoter,15
tasya,15
vegetable,15
chaotic,15
valid,15
urgency,15
joke,15
switch,15
none,15
personally,15
attack,15
embarrass,15
circle,15
intelligence,15
household,15
entry,15
crucial,15
jogja,15
id,15
instrument,15
insult,15
output,15
pure,15
regardless,15
deny,15
assessor,15
wear,15
famous,15
unemployment,15
pillar,15
deadline,15
equate,15
cabinet,15
faster,15
mindos,15
reviewer,15
foolish,15
tiny,15
assume,15
presentation,15
heaven,15
tight,15
otherwise,15
flag,15
oligarchy,15
passport,15
slightly,15
approve,15
conclude,15
wealthy,15
uncle,15
meager,15
sacrificial,15
dad,15
sayekti,15
dinda,15
xxvi,15
perform,14
unfortunately,14
exchange,14
harvard,14
invest,14
dtsen,14
c,14
stable,14
lesson,14
activist,14
medicine,14
revoke,14
map,14
chief,14
war,14
code,14
calm,14
consecutive,14
twenty,14
artist,14
umk,14
uncertain,14
store,14
collector,14
tpg,14
shout,14
pa,14
fantastic,14
tear,14
wide,14
ideally,14
guest,14
comfortable,14
facilitate,14
equally,14
optimal,14
disturb,14
vat,14
deal,14
injustice,14
forth,14
exceed,14
exploitation,14
fry,14
smoothly,14
empathy,14
bargain,14
privilege,14
aim,14
reflection,14
korea,14
inflation,14
equalize,14
practitioner,14
girl,14
cv,14
snack,14
fulfillment,14
internal,14
psychological,14
normalize,14
absorb,14
reduction,14
thus,14
south,14
arrange,14
apparently,14
slow,14
literature,14
census,14
aside,14
although,14
vendor,14
payslip,14
suggest,14
earnings,14
vary,14
midterm,14
pn,14
shandy,14
humanity,13
economics,13
constantly,13
illegal,13
forest,13
audience,13
entitle,13
ministerial,13
debi,13
instruction,13
fairly,13
sincerely,13
thr,13
cheaper,13
message,13
organize,13
art,13
yogyakarta,13
sexual,13
legislative,13
wib,13
decree,13
index,13
entirely,13
covid,13
combine,13
skb,13
intact,13
alternative,13
distinguish,13
transition,13
competent,13
effective,13
suitable,13
formation,13
stem,13
entity,13
ruler,13
quiet,13
realistic,13
oppose,13
worship,13
arbitrarily,13
chair,13
hinder,13
simplify,13
meritocracy,13
generalize,13
entire,13
mechanism,13
luxury,13
impression,13
unfair,13
confirm,13
bridge,13
lady,13
mentor,13
conversation,13
positive,13
proud,13
unreasonable,13
suggestion,13
consumption,13
terrible,13
baby,13
prevent,13
emergency,13
memo,13
strive,13
successfully,13
way,13
habit,13
apbd,13
label,13
kak,13
connection,13
discourse,13
decline,13
hobby,13
grind,13
recipient,13
renovate,13
school,13
emerge,13
necessity,13
unlike,13
alliance,13
everywhere,13
tough,13
widiyastrisna,13
directorate,13
heartbreaking,13
proportional,12
whenever,12
parliamentary,12
th,12
developer,12
survival,12
sumatra,12
pretend,12
peace,12
light,12
restaurant,12
administrator,12
collaborate,12
mah,12
super,12
hell,12
modest,12
massive,12
prosper,12
upn,12
slide,12
wednesday,12
recognition,12
consist,12
b,12
respective,12
mada,12
journey,12
executive,12
rat,12
thailand,12
transformation,12
controversy,12
dikti,12
smooth,12
expand,12
devotion,12
existence,12
repeat,12
taiwan,12
layer,12
earth,12
translate,12
debate,12
intern,12
soldier,12
leak,12
btw,12
definition,12
stingy,12
worthy,12
stock,12
comparable,12
marriage,12
presence,12
empty,12
scopus,12
length,12
disappoint,12
dismiss,12
align,12
gdp,12
luxurious,12
amaze,12
motivate,12
elect,12
luck,12
solihin,12
procedure,12
hrd,12
vietnam,12
collective,12
japanese,12
warn,12
productive,12
unable,12
cow,12
seller,12
hoax,12
rapbn,12
april,12
tejo,12
embezzle,12
treatment,12
men,12
ahy,12
queue,12
germany,12
surpass,12
abolish,12
ahmad,12
demonstrate,12
coordinate,12
transaction,12
uri,12
layoff,12
hr,12
extort,12
ikal,12
neighborhood,12
sesko,12
dependent,11
scholar,11
steal,11
corruptors,11
uncertainty,11
pack,11
blacklist,11
ratio,11
ta,11
argue,11
internet,11
uh,11
gajidosen,11
forward,11
clarify,11
excite,11
iq,11
island,11
border,11
consideration,11
withhold,11
perry,11
gadjah,11
unite,11
style,11
ceiling,11
fisherman,11
ruu,11
pile,11
dish,11
organizer,11
secondary,11
mafia,11
amidst,11
hot,11
weak,11
youth,11
bgn,11
tubel,11
silence,11
ln,11
passion,11
sleep,11
analyze,11
ideal,11
humane,11
evenly,11
element,11
legislation,11
king,11
malang,11
milk,11
zone,11
statistic,11
star,11
tie,11
inside,11
fake,11
examine,11
female,11
kemenkeu,11
cod,11
routine,11
konoha,11
relatively,11
observe,11
mid,11
ashamed,11
lampung,11
compulsory,11
supply,11
polytechnic,11
solely,11
smi,11
dewi,11
rush,11
toward,11
ruin,11
prosecutor,11
hey,11
celebrity,11
democrat,11
wkwkwk,10
salim,10
ethic,10
wander,10
bastard,10
picture,10
accelerate,10
arrive,10
piece,10
omon,10
cooperate,10
fool,10
batch,10
execution,10
prayer,10
swear,10
beg,10
influencers,10
application,10
lag,10
courtizen,10
midst,10
larger,10
coordinator,10
traffic,10
secure,10
actively,10
pekerti,10
transport,10
advocate,10
beat,10
hero,10
slowly,10
uniform,10
reluctant,10
idiot,10
verdict,10
narrow,10
stupidity,10
emotional,10
favorite,10
institutional,10
intimidate,10
employer,10
mode,10
expertise,10
efficient,10
launch,10
volunteer,10
mouth,10
nature,10
saturday,10
depok,10
ya,10
biggest,10
white,10
wasteful,10
timeline,10
rini,10
accuse,10
roughly,10
tone,10
equality,10
overall,10
enthusiastic,10
tutor,10
game,10
simultaneously,10
specifically,10
climate,10
academia,10
chaos,10
feasibility,10
audit,10
planner,10
collection,10
hate,10
disgust,10
origin,10
affordable,10
underprivileged,10
gentleman,10
twitter,10
clarity,10
club,10
phone,10
insist,10
popular,10
distance,10
physical,10
holder,10
psychology,10
freely,10
stronger,10
mutual,10
practical,10
pregnant,10
external,10
erode,10
sister,10
unfortunate,10
consistently,10
elsewhere,10
ratify,10
phase,10
enlighten,10
commute,10
systematic,10
brave,10
weird,10
utilize,10
commotion,10
childhood,10
headline,10
legally,10
capitalist,10
upon,10
impressive,10
air,10
spark,10
standardize,10
sort,10
supposedly,10
petitioner,10
logically,10
clarification,10
honorarium,10
pitiful,10
differentiate,10
elective,10
ksti,10
investigation,10
wet,9
underestimate,9
ride,9
cultural,9
counsel,9
provider,9
bind,9
ultimately,9
delete,9
incapacity,9
repay,9
incident,9
openly,9
creator,9
oblige,9
kdmp,9
gift,9
display,9
maker,9
cafe,9
portfolio,9
allege,9
papua,9
substance,9
page,9
severe,9
senayan,9
location,9
reputable,9
tpp,9
pp,9
iv,9
kg,9
connect,9
sustainable,9
briefly,9
reputation,9
gojek,9
owe,9
stall,9
skip,9
enforcement,9
prophet,9
prerequisite,9
sincerity,9
monkey,9
binus,9
trick,9
failure,9
crime,9
podcast,9
dedicate,9
shame,9
nationalism,9
ansor,9
reprimand,9
spotlight,9
interpret,9
sandwich,9
assumption,9
framework,9
dance,9
absence,9
discrimination,9
transparent,9
anger,9
likely,9
select,9
mission,9
liquid,9
inheritance,9
civilization,9
wkwkwkwk,9
indicator,9
widely,9
obstacle,9
assist,9
outstanding,9
manipulation,9
greedy,9
attitude,9
dwi,9
approximately,9
productivity,9
speaker,9
whatsapp,9
examiner,9
arranger,9
abuse,9
essence,9
mislead,9
firm,9
unsoed,9
indicate,9
commander,9
wash,9
happiness,9
north,9
loophole,9
beneficial,9
spg,9
recent,9
gamble,9
mess,9
jr,9
lawyer,9
rental,9
ptns,9
wise,9
lucky,9
pre,9
porridge,9
web,9
fk,9
affirm,9
circulate,9
reza,9
brand,9
accountability,9
somehow,9
smarter,9
perfect,9
firmly,9
adjustment,9
aceh,9
clause,9
ump,9
curse,9
coordination,9
lay,9
ongoing,9
anti,9
portrait,9
blt,9
forbid,9
clinic,9
rkp,9
bla,9
acknowledge,9
shape,9
donation,9
protester,9
fisip,9
anggun,9
ironic,9
dishearten,9
vent,9
ntt,9
capability,9
inform,9
disbursement,9
awesome,9
gamal,9
satryo,9
umt,9
stagnate,8
property,8
dilapidate,8
pathetic,8
dospem,8
fence,8
trouble,8
gapok,8
rob,8
yuliarto,8
army,8
socio,8
agribusiness,8
disease,8
seed,8
aka,8
garbage,8
quick,8
indak,8
orphan,8
makassar,8
dtks,8
routinely,8
flexible,8
systemic,8
oath,8
tech,8
awareness,8
bem,8
compass,8
fraud,8
taxable,8
concert,8
pph,8
industrial,8
messy,8
contrary,8
salamkonstitution,8
email,8
harassment,8
crowd,8
dissolve,8
province,8
stipulate,8
gol,8
strongly,8
moratorium,8
escape,8
consultation,8
grocery,8
shoe,8
makarim,8
jealous,8
fat,8
evil,8
shake,8
kkn,8
mature,8
reminder,8
trend,8
absolute,8
appropriately,8
door,8
feeling,8
forever,8
instagram,8
scandal,8
classic,8
cold,8
deeper,8
excel,8
object,8
painful,8
nusantara,8
heavily,8
panel,8
honesty,8
route,8
loyal,8
wahuh,8
screenshot,8
theme,8
naive,8
lock,8
et,8
europe,8
kemendikti,8
frame,8
comfortably,8
apple,8
jump,8
strength,8
delicious,8
unequal,8
excessive,8
load,8
destroy,8
nonsense,8
contain,8
scratch,8
bmkg,8
investigator,8
pancasila,8
librarian,8
dick,8
optimization,8
bless,8
undergo,8
reliable,8
dprd,8
fragile,8
grandfather,8
coach,8
satisfy,8
lifetime,8
relax,8
ipk,8
rotten,8
sample,8
acceptance,8
illusion,8
versus,8
dangerous,8
locate,8
partly,8
fighter,8
insurance,8
abundant,8
ethical,8
postdoc,8
phrase,8
wake,8
website,8
pdi,8
bare,8
toddler,8
exception,8
lifestyle,8
eid,8
tukinforall,8
caput,8
trader,8
mama,8
hardship,8
generally,8
crypto,8
unwilling,8
fin,8
prohibit,8
merit,8
bribe,8
adequately,8
primary,8
initiative,8
nana,8
erna,8
vulnerability,8
literally,8
weight,8
ceremony,8
interpretation,8
hetifah,8
absolutely,8
padang,8
treasury,8
pop,8
zakat,8
beritasatu,8
notification,8
anxious,8
extremely,8
pertamina,8
september,8
gross,8
worsen,8
patriot,8
acceleration,8
greatly,8
luckily,8
gather,8
amnesty,8
cluster,8
jinni,8
excellent,8
mock,8
budi,8
wisdom,8
understandable,8
compromise,8
palace,8
median,8
voter,8
advantage,8
internationally,8
tangerang,8
impoverish,8
pwb,8
fuck,7
wni,7
cute,7
sin,7
soar,7
anjir,7
melbourne,7
manner,7
custom,7
attractive,7
sadly,7
dictatorship,7
goodness,7
ompreng,7
near,7
uneven,7
investigate,7
courage,7
amran,7
donate,7
bentar,7
walk,7
green,7
player,7
ticket,7
profile,7
introduce,7
motor,7
subscription,7
music,7
anywhere,7
courtroom,7
unique,7
idealistic,7
inauguration,7
workshop,7
purely,7
click,7
amendment,7
peaceful,7
hazard,7
a,7
warjiyo,7
birth,7
organizational,7
menpan,7
mantab,7
loudly,7
fruit,7
harvest,7
heavier,7
motorbike,7
chromebook,7
solid,7
mathematics,7
chinese,7
eligible,7
confidence,7
nakes,7
wall,7
glorify,7
wallet,7
translator,7
series,7
upload,7
